"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Gbp5",263.860952824386,3.0961950583318,0.209192535800992,14.8006956676373,1.44975403380377e-49,7.51088569833056e-47
"Mx2",307.969132873229,5.35997050116997,0.364202595560514,14.7170024774834,5.01397437095786e-49,2.49773061740947e-46
"Ccrl2",638.224998579139,4.23739513067587,0.290040118799667,14.6096862331058,2.43637432397974e-48,1.16873778682169e-45
"Trafd1",681.763433634737,2.89209032100155,0.198780608767663,14.5491571785146,5.91270320138813e-48,2.73504756658497e-45
"Ifih1",456.617958770024,4.22890735893565,0.294148870344861,14.3767587955638,7.24069638774105e-47,3.23384481427662e-44
"Dll4",145.547268343035,5.45052869960306,0.383620899940138,14.2081119679704,8.15958441143953e-46,3.48073928647733e-43
"Tnfaip2",1070.72311542278,1.69567132533818,0.119357527744451,14.2066558966325,8.33098501241487e-46,3.48073928647733e-43
"Tnfrsf1b",599.699064482927,1.79786250872106,0.12744178588622,14.1073235612548,3.4232542658915e-45,1.38556216411958e-42
"Gbp3",534.456640126878,3.43942251663391,0.249826728380978,13.7672319488125,4.01296523838859e-43,1.57502805356391e-40
"Stat2",884.872450707465,2.83638263869881,0.20668780097252,13.723028767798,7.39121147784705e-43,2.81561679591397e-40
"Pnp",508.801022811231,1.75671200125599,0.128597681839321,13.6605261940177,1.74716665642389e-42,6.4655150097149e-40
"Eif2ak2",347.627392001953,3.57677545750754,0.263955973088439,13.5506517077722,7.85298145189726e-42,2.8253282156937e-39
"Ifi208",158.137565446576,3.31114957216857,0.244961873420122,13.5169997107663,1.24136118244128e-41,4.34543514458905e-39
"Il27",130.339357724891,6.60368432407617,0.488686605504151,13.5131273288399,1.30842936742224e-41,4.45967820180338e-39
"Tmem184b",283.557473789189,2.15403193420438,0.159980397479326,13.4643491836726,2.53542331319031e-41,8.4202058339592e-39
"Tor3a",785.269603761568,3.59294859119189,0.267376394191266,13.4377928240804,3.63106189633792e-41,1.17573784203422e-38
"Tnfsf15",178.887529112167,7.94213377598838,0.591291139350126,13.4318498070466,3.93458770071919e-41,1.24294585121256e-38
"Ifi35",820.014989239145,2.41001811502553,0.179878088879069,13.3980638222467,6.20611387952642e-41,1.91384730875301e-38
"Ifi211",129.796820241759,4.62693157800759,0.346803631914372,13.3416468347425,1.32499748477963e-40,3.99101567973622e-38
"Mov10",216.061725857963,2.85346508536403,0.214133779481937,13.3256186495542,1.64265432677198e-40,4.83537700917061e-38
"Gbp2",939.721571898233,3.62870351512128,0.274828458818728,13.2035216830099,8.37273199497507e-40,2.40985832886482e-37
"Ifi47",739.970921568364,3.31199156540704,0.250877032830819,13.2016531287681,8.58305521149483e-40,2.41668980650611e-37
"Clic4",1415.86497336266,2.07832463093507,0.157761833920692,13.1738113033084,1.24167709842572e-39,3.42174505932125e-37
"Zc3h12a",223.219999004931,2.24615607432365,0.171441191672294,13.1016125845482,3.22335444234174e-39,8.6976847369188e-37
"Il12a",184.654656633903,3.78832438345637,0.290418678390082,13.0443551511794,6.84335487832893e-39,1.80888025273707e-36
"Icam1",593.471721190552,1.96355908092682,0.150947753331499,13.0082034186664,1.09895427521359e-38,2.84673115451329e-36
"Slfn9",116.455723581487,3.7301393231389,0.287899941484305,12.9563740232377,2.16229365754565e-38,5.49137793186888e-36
"Lad1",227.150810950731,2.0300552169626,0.15738594860443,12.8985797967574,4.58468661576527e-38,1.14193963552677e-35
"Gvin-ps7",381.874846965139,2.45580384066184,0.19299703876693,12.7245674666934,4.31859618227733e-37,1.05536712741238e-34
"Phf11c",216.677627903094,3.58137708329689,0.28162116946707,12.7170023832873,4.75764006301142e-37,1.14112877955785e-34
"Rasa4",356.483175170932,2.7812578709193,0.219238580922076,12.6859873806055,7.07170155676973e-37,1.6653214284233e-34
